"Part number","Description","Order Now","SubFamily","Interface","Operating temperature range (C)","Local sensor accuracy(Max) (+/- C)","Rating","Package Group","Package size: mm2:W x L (PKG)","Supply voltage  (Min) (V)","Supply voltage (Max) (V)","Supply current(Max) (uA)"
"LMT70A","±0.1°C Matching Accuracy Precision Analog Temperature Sensor","=HYPERLINK(""https://www.ti.com/product/LMT70A/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-55 to 150","0.36","Catalog","DSBGA|4","See datasheet (DSBGA)","2","5.5","12"
"TMP117","±0.1°C accurate digital temperature sensor with integrated NV memory","=HYPERLINK(""https://www.ti.com/product/TMP117/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-55 to 150,
0 to 85","0.1","Catalog","DSBGA|6, WSON|6","1 mm2: 1.4 x 1 (DSBGA|6), 4 mm2: 2 x 2 (WSON|6)","1.8","5.5","5"
"LMT70","±0.1°C ultra-small, high-precision, low-power CMOS analog temperature sensor","=HYPERLINK(""https://www.ti.com/product/LMT70/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-55 to 150","0.36","Catalog","DSBGA|4","See datasheet (DSBGA)","2","5.5","12"
"TMP116","±0.2°C Accurate Digital Temperature Sensor With NV Memory","=HYPERLINK(""https://www.ti.com/product/TMP116/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-55 to 125","0.2","Catalog","WSON|6","4 mm2: 2 x 2 (WSON|6)","1.9","5.5","4.5"
"LM20","±1.5°C Analog Output Temperature Sensor","=HYPERLINK(""https://www.ti.com/product/LM20/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-40 to 125,
-55 to 130","1.5","Catalog","DSBGA|4, SC70|5","2 mm2: 1.3 x 1.5 (DSBGA|4), 4 mm2: 2.1 x 2 (SC70|5)","2.4","5.5","7"
"LM94021","±1.5°C Temperature Sensor with Multiple Gain Analog Output Options","=HYPERLINK(""https://www.ti.com/product/LM94021/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-50 to 150","1.5","Catalog","SC70|5","4 mm2: 2.1 x 2 (SC70|5)","1.5","5.5","12"
"LM94022","±1.5°C Temperature Sensor with Multiple Gain and Class-AB Analog Output","=HYPERLINK(""https://www.ti.com/product/LM94022/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-50 to 150","1.5","Catalog","SC70|5","4 mm2: 2.1 x 2 (SC70|5)","1.5","5.5","8.1"
"LM94023","±1.5°C Temperature Sensor with Multiple Gain, Class-AB Analog Output and WCSP","=HYPERLINK(""https://www.ti.com/product/LM94023/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-50 to 150","1.5","Catalog","DSBGA|4","See datasheet (DSBGA)","1.5","5.5","8.1"
"LMT87","±2°C 2.7V to 5.5V analog output temperature sensor with -13.6 mV/°C gain","=HYPERLINK(""https://www.ti.com/product/LMT87/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-50 to 150","2.7","Catalog","SC70|5, TO-92|3, TO-92|3","4 mm2: 2.1 x 2 (SC70|5), 6 mm2: 1.52 x 4 (TO-92|3), 19 mm2: 3.68 x 5.2 (TO-92|3)","2.7","5.5","8.1"
"TMP61","&plusmn;1% tolerance 10k&Omega; linear thermistor available in 0402 and 0603 package options","=HYPERLINK(""https://www.ti.com/product/TMP61/samplebuy"",""Order Now"")","Thermistors","Resistance","-40 to 125,
-40 to 150","4","Catalog","SOT-5X3|2, TO-92|2, X1SON|2","1 mm2: 1.2 x .8 (SOT-5X3|2), 6 mm2: 1.52 x 4 (TO-92|2), 1 mm2: .6 x 1 (X1SON|2)","0","5.5","400"
"LM60","&plusmn;2&deg;C analog output temperature sensor with 6.25mV /&deg;C gain and TO-92 option","=HYPERLINK(""https://www.ti.com/product/LM60/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-25 to 125,
-40 to 125","2","Catalog","SOT-23|3, TO-92|3","7 mm2: 2.37 x 2.92 (SOT-23|3), 19 mm2: 3.68 x 5.2 (TO-92|3)","2.7","10","110"
"LM62","&plusmn;2&deg;C analog output temperature sensor, with 15.6mV/&deg;C gain","=HYPERLINK(""https://www.ti.com/product/LM62/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","0 to 90","2","Catalog","SOT-23|3","7 mm2: 2.37 x 2.92 (SOT-23|3)","2.7","10","130"
"LM45","&plusmn;3&deg;C analog output temperature sensor, with 10mV/&deg;C gain","=HYPERLINK(""https://www.ti.com/product/LM45/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-20 to 100","2","Catalog","SOT-23|3","7 mm2: 2.37 x 2.92 (SOT-23|3)","4","10","120"
"TMP20","Analog Out Temperature Sensor","=HYPERLINK(""https://www.ti.com/product/TMP20/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-55 to 125","2.5","Catalog","SC70|5, SOT-5X3|6","4 mm2: 2.1 x 2 (SC70|5), 2 mm2: 1.2 x 1.6 (SOT-5X3|6)","1.8","5.5","4"
"LM19","Analog Output Temperature Sensor in TO-92","=HYPERLINK(""https://www.ti.com/product/LM19/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-55 to 130","2.5","Catalog","TO-92|3","19 mm2: 3.68 x 5.2 (TO-92|3)","2.4","5.5","7"
"LM60-Q1","Automotive Grade, ±2°C Analog Output Temperature Sensor","=HYPERLINK(""https://www.ti.com/product/LM60-Q1/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-40 to 125","2","Automotive","SOT-23|3","7 mm2: 2.37 x 2.92 (SOT-23|3)","2.7","10","110"
"LM50-Q1","Automotive grade, &plusmn;2&deg;C analog output temperature sensor, with 10mV/&deg;C gain","=HYPERLINK(""https://www.ti.com/product/LM50-Q1/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-40 to 125","2","Automotive","SOT-23|3","7 mm2: 2.37 x 2.92 (SOT-23|3)","4.5","10","130"
"TMP236-Q1","Automotive grade, ±0.5°C analog output temperature sensor with 19.5 mV/°C gain","=HYPERLINK(""https://www.ti.com/product/TMP236-Q1/samplebuy"",""Order Now"")","Analog temperature sensors","Analog output","-40 to 125","1.5","Automotive","SOT-23|3","7 mm2: 2.37 x 2.92 (SOT-23|3)","12","2.3","12"
"TMP61-Q1","Automotive ±1% tolerance 10kΩ linear thermistor available in an 0402 package option","=HYPERLINK(""https://www.ti.com/product/TMP61-Q1/samplebuy"",""Order Now"")","Thermistors","Resistance","-40 to 125,
-40 to 150","4","Automotive","SOT-5X3|2, TO-92|2, X1SON|2","1 mm2: 1.2 x .8 (SOT-5X3|2), 6 mm2: 1.52 x 4 (TO-92|2), 1 mm2: .6 x 1 (X1SON|2)","0","5.5","400"
"TMP1075","High-accuracy upgrade to industry standard LM75 / TMP75 I2C temperature sensor","=HYPERLINK(""https://www.ti.com/product/TMP1075/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-55 to 125","1","Catalog","SOIC|8, VSSOP|8, WSON|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8), 4 mm2: 2 x 2 (WSON|8)","1.7","5.5","4"
"TMP144","Low-power, digital temperature sensor with UART / SMAART wire interface","=HYPERLINK(""https://www.ti.com/product/TMP144/samplebuy"",""Order Now"")","Digital temperature sensors","UART","-40 to 125","1","Catalog","DSBGA|4","1 mm2: 1 x 1.2 (DSBGA|4)","1.4","3.6","3"
"TMP63","±1% tolerance 100kΩ linear thermistor available in an 0402 package","=HYPERLINK(""https://www.ti.com/product/TMP63/samplebuy"",""Order Now"")","Thermistors","Resistance","-40 to 125","3","Catalog","X1SON|2","1 mm2: .6 x 1 (X1SON|2)","0","5.5","400"
"TMP64","±1% tolerance 47kΩ linear thermistor available in a 0402 package option ","=HYPERLINK(""https://www.ti.com/product/TMP64/samplebuy"",""Order Now"")","Thermistors","Resistance","-40 to 125","3","Catalog","X1SON|2","1 mm2: .6 x 1 (X1SON|2)","0","5.5","400"
"TMP236","±2.0°C analog output temperature sensor, with 19.5mV/°C gain","=HYPERLINK(""https://www.ti.com/product/TMP236/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-10 to 125","1","Catalog","SC70|5, SOT-23|3","4 mm2: 2.1 x 2 (SC70|5), 7 mm2: 2.37 x 2.92 (SOT-23|3)","3.1","5.5","12"
"LM61","±3°C analog output temperature sensor with 10mV/°C gain & TO-92 option","=HYPERLINK(""https://www.ti.com/product/LM61/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-25 to 85,
-30 to 100","2","Catalog","SOT-23|3, TO-92|3","7 mm2: 2.37 x 2.92 (SOT-23|3), 19 mm2: 3.68 x 5.2 (TO-92|3)","2.7","10","125"
"TMP63-Q1","Automotive ±1% tolerance 100kΩ linear thermistor available in a 0402 package option","=HYPERLINK(""https://www.ti.com/product/TMP63-Q1/samplebuy"",""Order Now"")","Thermistors","Resistance","-40 to 125","4","Automotive","X1SON|2","1 mm2: .6 x 1 (X1SON|2)","0","5.5","400"
"TMP112","±0.5°C 1.4V to 3.6V digital temperature sensor with I2C/SMBus in 2.56mm2 package
","=HYPERLINK(""https://www.ti.com/product/TMP112/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","0.5","Catalog","SOT-5X3|6","2 mm2: 1.2 x 1.6 (SOT-5X3|6)","1.4","3.6","10"
"TMP102","±2°C 1.4V to 3.6V digital temperature sensor with I2C/SMBus in 2.56mm2 package","=HYPERLINK(""https://www.ti.com/product/TMP102/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","2","Catalog","SOT-5X3|6","2 mm2: 1.2 x 1.6 (SOT-5X3|6)","1.4","3.6","10"
"TMP103","1.4V-Capable Temperature Sensor with I2C/SMBus Interface in WCSP","=HYPERLINK(""https://www.ti.com/product/TMP103/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","2","Catalog","DSBGA|4","1 mm2: 1 x 1.2 (DSBGA|4)","1.4","3.6","3"
"TMP75B","1.4V-Capable Temperature Sensor with I2C/SMBus Interface in LM75 Form Factor & Pinout","=HYPERLINK(""https://www.ti.com/product/TMP75B/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-55 to 125","2","Catalog","SOIC|8, VSSOP|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8)","1.4","3.6","89"
"TMP75C","1.4V-Capable Temperature Sensor with I2C/SMBus Interface with One-Shot Mode in LM75 Pinout","=HYPERLINK(""https://www.ti.com/product/TMP75C/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-55 to 125","1","Catalog","SOIC|8, VSSOP|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8)","1.4","3.6","37"
"TMP75","Temperature Sensor with I2C/SMBus Interface in Industry Standard LM75 Form Factor & Pinout","=HYPERLINK(""https://www.ti.com/product/TMP75/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1.5","Catalog","SOIC|8, VSSOP|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8)","2.7","5.5","85"
"TMP275","±0.5°C Temperature Sensor with I2C/SMBus Interface in Industry Std LM75 Form Factor & Pinout","=HYPERLINK(""https://www.ti.com/product/TMP275/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","0.5","Catalog","SOIC|8, VSSOP|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8)","2.7","5.5","85"
"LMT01","0.5°C Accurate 2-pin Temperature Sensor with a Pulse Train Interface","=HYPERLINK(""https://www.ti.com/product/LMT01/samplebuy"",""Order Now"")","Digital temperature sensors","Pulse Count","-50 to 150","0.5","Catalog","TO-92|2, WSON|2","6 mm2: 1.52 x 4 (TO-92|2), 3 mm2: 1.7 x 2 (WSON|2)","2","5.5","39"
"TMP464","5-Channel (4-Remote and 1-Local) High-Accuracy Remote and Local Temperature Sensor","=HYPERLINK(""https://www.ti.com/product/TMP464/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","0.75","Catalog","VQFN|16","9 mm2: 3 x 3 (VQFN|16)","1.7","3.6","375"
"TMP461","High accuracy remote and local temperature sensor with pin-programmable bus address","=HYPERLINK(""https://www.ti.com/product/TMP461/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1","Catalog","QFN|10","4 mm2: 2 x 2 (QFN|10)","1.7","3.6","375"
"TMP468","±0.75⁰C High-Accuracy Multi-channel Remote and Local Temperature Sensor","=HYPERLINK(""https://www.ti.com/product/TMP468/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","0.35","Catalog","DSBGA|16, VQFN|16","See datasheet (DSBGA), 9 mm2: 3 x 3 (VQFN|16)","1.7","3.6","375"
"TMP451","1.7-V remote and local temperature sensor with N-factor, filtering and series-R correction","=HYPERLINK(""https://www.ti.com/product/TMP451/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1","Catalog","WSON|8","4 mm2: 2 x 2 (WSON|8)","1.7","3.6","40"
"TMP423-Q1","AEC-Q100 Automotive 3Ch Remote Temperature Sensor","=HYPERLINK(""https://www.ti.com/product/TMP423-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1.5","Automotive","SOT-23|8","8 mm2: 2.8 x 2.9 (SOT-23|8)","2.7","5.5","38"
"LMT01-Q1","Automotive Grade, 0.5°C Accurate 2-pin Temperature Sensor with a Pulse Train Interface","=HYPERLINK(""https://www.ti.com/product/LMT01-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","Pulse Count","-40 to 125,
-40 to 150","0.5","Automotive","TO-92|2, WSON|2","6 mm2: 1.52 x 4 (TO-92|2), 3 mm2: 1.7 x 2 (WSON|2)","2","5.5","39"
"LM95071-Q1","Automotive Grade, ±1°C Temperature Sensor with SPI Interface","=HYPERLINK(""https://www.ti.com/product/LM95071-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","SPI, Microwire","-40 to 150","1","Automotive","SOT-23|5","5 mm2: 1.6 x 2.9 (SOT-23|5)","2.4","5.5","520"
"TMP75-Q1","Automotive Temp Sensor with I2C/SMBus Interface in Industry Standard LM75 Form Factor & Pinout","=HYPERLINK(""https://www.ti.com/product/TMP75-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1.5","Automotive","SOIC|8, VSSOP|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8)","2.7","5.5","85"
"TMP112-Q1","Automotive ±0.5°C 1.4V to 3.6V digital temperature sensor with I2C/SMBus in 2.56mm2 package","=HYPERLINK(""https://www.ti.com/product/TMP112-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","0.5","Automotive","SOT-5X3|6","2 mm2: 1.2 x 1.6 (SOT-5X3|6)","1.4","3.6","10"
"TMP102-Q1","Automotive ±2°C 1.4V to 3.6V digital temperature sensor with I2C/SMBus in 2.56mm2 package
","=HYPERLINK(""https://www.ti.com/product/TMP102-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","2","Automotive","SOT-5X3|6","2 mm2: 1.2 x 1.6 (SOT-5X3|6)","1.4","3.6","10"
"TMP121","&plusmn;1.5&deg;C 2.7V to 5.5V digital temperature sensor with SPI interface and -40 to 125&deg;C","=HYPERLINK(""https://www.ti.com/product/TMP121/samplebuy"",""Order Now"")","Digital temperature sensors","SPI, Microwire","-40 to 125","1.5","Catalog","SOT-23|6","5 mm2: 1.6 x 2.9 (SOT-23|6)","2.7","5.5","50"
"TMP123","&plusmn;1.5&deg;C 2.7V to 5.5V digital temperature sensor with SPI interface and -55 to 125&deg;C","=HYPERLINK(""https://www.ti.com/product/TMP123/samplebuy"",""Order Now"")","Digital temperature sensors","SPI, Microwire","-55 to 125","1.5","Catalog","SOT-23|6","5 mm2: 1.6 x 2.9 (SOT-23|6)","2.7","5.5","50"
"TMP125","&plusmn;2&deg;C 2.7V to 5.5V digital temperature sensor with SPI interface and -40 to 125&deg;C o","=HYPERLINK(""https://www.ti.com/product/TMP125/samplebuy"",""Order Now"")","Digital temperature sensors","SPI, Microwire","-40 to 125","2","Catalog","SOT-23|6","5 mm2: 1.6 x 2.9 (SOT-23|6)","2.7","5.5","50"
"TMP124","Temperature Sensor with SPI Interface with Alert Function in SOIC","=HYPERLINK(""https://www.ti.com/product/TMP124/samplebuy"",""Order Now"")","Digital temperature sensors","SPI, Microwire","-55 to 125","1.5","Catalog","SOIC|8","19 mm2: 3.91 x 4.9 (SOIC|8)","2.7","5.5","75"
"TMP122","Temperature Sensor with SPI Interface with Alert Function in SOT-23","=HYPERLINK(""https://www.ti.com/product/TMP122/samplebuy"",""Order Now"")","Digital temperature sensors","SPI, Microwire","-40 to 125","1.5","Catalog","SOT-23|6","5 mm2: 1.6 x 2.9 (SOT-23|6)","2.7","5.5","75"
"LM75A","&plusmn;2&deg;C, 2.7V to 5.5V industry standard temperature sensor with I2C/SMBus interface","=HYPERLINK(""https://www.ti.com/product/LM75A/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-55 to 125","2","Catalog","SOIC|8, VSSOP|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8)","2.7","5.5","500"
"TMP108","1.4V-Capable ±0.75°C Temperature Sensor with Window Alert Function and I2C/SMBus in WCSP","=HYPERLINK(""https://www.ti.com/product/TMP108/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","0.75","Catalog","DSBGA|6","See datasheet (DSBGA)","1.4","3.6","6"
"TMP101-Q1","Automotive Grade, Temperature Sensor with I2C/SMBus Interface with Alert Function","=HYPERLINK(""https://www.ti.com/product/TMP101-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","2","Automotive","SOT-23|6","5 mm2: 1.6 x 2.9 (SOT-23|6)","2.7","5.5","75"
"TMP411","Remote and Local Temperature Sensor with N-Factor and Series-R Correction in MSOP-8","=HYPERLINK(""https://www.ti.com/product/TMP411/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","2.5","Catalog","SOIC|8, VSSOP|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8)","2.7","5.5","30"
"TMP100","Temperature Sensor with I2C/SMBus Interface in SOT-23","=HYPERLINK(""https://www.ti.com/product/TMP100/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-55 to 125","2","Catalog","SOT-23|6","5 mm2: 1.6 x 2.9 (SOT-23|6)","2.7","5.5","75"
"TMP101","Temperature Sensor with I2C/SMBus Interface with Alert Function in SOT-23","=HYPERLINK(""https://www.ti.com/product/TMP101/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-55 to 125","2","Catalog","SOT-23|6","5 mm2: 1.6 x 2.9 (SOT-23|6)","2.7","5.5","75"
"TMP141","Temperature Sensor with SensorPath 1-Wire Interface","=HYPERLINK(""https://www.ti.com/product/TMP141/samplebuy"",""Order Now"")","Digital temperature sensors","1-wire Sensor Path","-40 to 125","2","Catalog","SOT-23|6, VSSOP|8","5 mm2: 1.6 x 2.9 (SOT-23|6), 15 mm2: 4.9 x 3 (VSSOP|8)","2.7","5.5","120"
"TMP107","±0.4°C Temperature Sensor with Daisy-Chain UART, EEPROM, and Alert Function","=HYPERLINK(""https://www.ti.com/product/TMP107/samplebuy"",""Order Now"")","Digital temperature sensors","UART","-55 to 125","0.4","Catalog","SOIC|8","19 mm2: 3.91 x 4.9 (SOIC|8)","1.7","5.5","35"
"TMP75C-Q1","1°C Accuracy, Digital Temp Sensor w/ 2-Wire Interface & Alert","=HYPERLINK(""https://www.ti.com/product/TMP75C-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1","Automotive,
Military","SOIC|8, VSSOP|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8)","1.4","3.6","37"
"TMP451-Q1","Automotive 1.7-V remote and local temp sensor with N-factor, filtering and series-R correction","=HYPERLINK(""https://www.ti.com/product/TMP451-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","1","Automotive","WSON|8, WSON|8","4 mm2: 2 x 2 (WSON|8), 6 mm2: 2.5 x 2.5 (WSON|8)","1.7","3.6","40"
"TMP75B-Q1","Automotive Grade, 1.4V-Capable Temperature Sensor with I2C/SMBus Interface in LM75 Pinout","=HYPERLINK(""https://www.ti.com/product/TMP75B-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","2","Automotive","SOIC|8, VSSOP|8","19 mm2: 3.91 x 4.9 (SOIC|8), 15 mm2: 4.9 x 3 (VSSOP|8)","1.4","3.6","89"
"TMP411-Q1","Automotive Grade, Remote and Local Temperature Sensor with N-Factor and Series-R Correction","=HYPERLINK(""https://www.ti.com/product/TMP411-Q1/samplebuy"",""Order Now"")","Digital temperature sensors","I2C, SMBus, 2-Wire","-40 to 125","2.5","Automotive","VSSOP|8","15 mm2: 4.9 x 3 (VSSOP|8)","2.7","5.5","30"
