Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Core Processor","Speed","Number of Cores","Power (Watts)","Cooling Type","Size / Dimension","Form Factor","Expansion Site/Bus","RAM Capacity/Installed","Storage Interface","Video Outputs","Ethernet","USB","RS-232 (422, 485)","Digital I/O Lines","Analog Input:Output","Watchdog Timer","Operating Temperature"
https://www.digi.com/pdf/ds_op7200.pdf,//media.digikey.com/Photos/Rabbit%20Semi%20Photos/20-101-0537.jpg,316-1197-ND,20-101-0537,Digi,INTERFACE OP7200 W/TCHSCRN&512K,39,0,"489.00000","0","1","-","OP7200","Not For New Designs","Rabbit 2000","22MHz","1","4W","-","4.41"" x 5.67"" (112mm x 144mm)","-","-","128KB/128KB","-","-","10/100Mbps (1)","-","4","19/8","8:0","Yes","-"
https://www.versalogic.com/Products/PDF/DS-Cougar.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-EPM-14H.jpg,1241-1069-ND,VL-EPM-14H,VersaLogic Corporation,SBC GEODE LX800 500 MHZ 256 MB,459,0,"711.00000","0","1","-","Cougar","Active","Geode LX 800","500MHz","1","4.5W","Heat Sink","3.6"" x 3.8"" (90mm x 96mm)","PC/104","PC/104-Plus","256MB/256MB","ATA66, CompactFlash","VGA, LVDS","10/100Mbps (2)","USB 2.0 (2)","3","0","0:0","Yes","-40°C ~ 85°C"
https://www.versalogic.com/Products/PDF/DS-EPM-31-BayCat.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-EPM-31ECP.jpg,1241-1341-ND,VL-EPM-31ECP,VersaLogic Corporation,SBC BAYCAT ATOM QUAD 1.9GHZ,83,0,"886.00000","0","1","-","BayCat","Active","Atom E3845","1.91GHz","4","6.5W","Heat plate","4.23"" x 3.77"" (108mm x 96mm)","PC/104","PC/104-Plus","8GB/0GB","SATA, mSATA, SD","HDMI, VGA","10/100/1000Mbps (2)","USB 2.0 (4), USB 3.0 (1)","2","24","-","Yes","-40°C ~ 85°C"
https://www.versalogic.com/Products/PDF/DS-Viper%20EBX-38.pdf,//media.digikey.com/photos/VersaLogic%20Photos/VL-EBX-38ECP.JPG,1241-1375-ND,VL-EBX-38ECP,VersaLogic Corporation,SINGLE BOARD COMPUTER,60,0,"936.00000","0","1","-","Viper","Active","Atom E3845","1.91GHz","4","7.7W","Heat plate","5.75"" x 8"" (146mm x 203mm)","EBX","PC/104-Plus","16GB/0GB","SATA, mSATA, MicroSD","LVDS, VGA, Mini Display Port","10/100/1000Mbps (2)","USB 2.0 (6), USB 3.0 (1)","4","32","8:4","Yes","-40°C ~ 85°C"
https://www.versalogic.com/Products/PDF/DS-EPU-3311.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-EPU-3311-EDP.jpg,1241-1347-ND,VL-EPU-3311-EDP,VersaLogic Corporation,SBC ATOM BAY TRAIL QUAD 1.91GZ,62,0,"1237.01000","0","1","-","Osprey","Active","Atom E3845","1.91GHz","4","7.3W","Heat plate","2.17"" x 3.74"" (55mm x 95mm)","-","-","4GB/4GB","SATA, eMMC, MicroSD, Mini PCIe","LVDS","GbE","USB 2.0 (4), USB 3.0 (1)","2","8","0:0","Yes","-40°C ~ 85°C"
https://www.versalogic.com/Products/PDF/DS-EPU-3312.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/Raven-Series.jpg,1241-1353-ND,VL-EPU-3312-EDP,VersaLogic Corporation,RAVEN BOARD QUAD 1.91GHZ,29,0,"1267.01000","0","1","-","Raven","Active","Atom E3845","1.91GHz","4","7.60W","Heat plate","3.74"" x 3.74"" (95mm x 95mm)","-","-","4GB/4GB","SATA, eMMC, MicroSD, Mini PCIe","LVDS","GbE","USB 2.0 (4), USB 3.0 (1)","4","8","8:0","Yes","-40°C ~ 85°C"
https://www.versalogic.com/Products/PDF/DS-EPU-Blackbird.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-EPU-4562-ECP-32.JPG,1241-1365-ND,VL-EPU-4562-ECP-32,VersaLogic Corporation,EMBEDDED PROCESSING UNIT,37,0,"2829.01000","0","1","-","Blackbird","Active","Intel Core i7","2.8GHz","4","22.2W","Heat plate","3.74"" x 4.92"" (95mm x 125mm)","-","-","32GB/32GB","SATA, Mini PCIe/mSATA, microSD","LVDS, Mini Display Port","10/100/1000Mbps (2)","USB 2.0 (4), USB 3.0 (2)","4","24","8:4","Yes","-40°C ~ 85°C"
http://www.udoo.org/download/files/datasheets/datasheet_udoo_neo.pdf,//media.digikey.com/Photos/UDOO/MFG_SA69-0200-1100-C0.jpg,1485-1014-ND,SA69-0200-1100-C0,UDOO,UDOO NEO FULL SBC 1GB RAM,596,0,"68.03000","0","1","-","NEO","Active","ARM® Cortex®-A9 + M4, i.MX6Solo","1.0GHz","3","-","-","2.2"" x 2.7"" (56mm x 68.6mm)","-","-","1GB/1GB","SD/SDIO, SPI","HDMI, LVDS","10/100Mbps (1)","USB 2.0 type A (1), USB Micro (1)(1 OTG)","-","36","6:0","-","-"
https://www.digi.com/resources/documentation/digidocs/pdfs/0190067_j.pdf,//media.digikey.com/photos/Rabbit%20Semi%20Photos/20-101-0356.JPG,316-1079-ND,20-101-0356,Digi,COMPUTER SINGLE-BOARD BL1800,61,0,"107.00000","0","1","-","Jackrabbit","Not For New Designs","Rabbit 2000","29.5MHz","1","1.2W","-","2.50"" x 3.50"" (64mm x 89mm)","-","-","512KB/128KB","-","-","-","-","4","10","1:2","Yes","-40°C ~ 70°C"
https://s3.us-east-2.amazonaws.com/technexion/datasheets/wb-imx6.pdf,//media.digikey.com/Photos/Wandboard%20Org%20Photos/WB-IMX6U-BW_Bottom.jpg,1406-0008-ND,WB-IMX6U-BW,Wandboard.Org,WB-IMX6U-BW KIT,53,0,"121.50000","0","1","-","-","Active","ARM® Cortex®-A9, i.MX6DualLite","1.0GHz","2","-","-","3.74"" x 3.74"" (95mm x 95mm)","-","GPIO, I²C, SPI, TTL, UART","1GB/1GB","microSD","HDMI","1Gbps","USB 2.0 (1)","1","-","-","-","0°C ~ 50°C"
https://www.udoo.org/docs/Introduction/Introduction.html,//media.digikey.com/Photos/UDOO/MFG_UDOO-QUAD.jpg,1485-1001-ND,UDOO QUAD,UDOO,UDOO QUAD CORE SBC OPENSOURCE,56,0,"140.00000","0","1","-","-","Active","ARM® Cortex®-A9, i.MX6Quad","1.0GHz","4","-","-","4.33"" x 3.35"" (109.98mm x 85.09mm)","-","-","1GB/1GB","SATA, SD","HDMI, LVDS","RJ45 (10/100/1000)","USB 2.0 (1), USB 2.0 Type A (2), USB Micro (2)(1 OTG)","-","76","-","-","-"
https://www.seco.com/misk/UDOO_X86_datasheet.pdf,//media.digikey.com/Photos/UDOO/SB02-4940-0000-C1.jpg,1485-1023-ND,SB02-4940-0000-C1,UDOO,SBC UDOO X86 ULTRA W/INTEL N3,120,0,"311.25000","0","1","-","Ultra","Active","Pentium N3710","2.56GHz","4","-","-","4.72"" x 3.35"" (120mm x 85mm)","-","-","8GB/8GB","eMMC, MicroSD, SATA 3, SSD","HDMI, MiniDP","GbE","USB 3.0 (3)","-","20","-","-","-"
https://versalogic.com/Products/PDF/DS-SandCat%20EPM-39.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/MFG_SandCat.jpg,1241-1442-ND,VL-EPM-39EBK,VersaLogic Corporation,SANDCAT SBC ATOM E3825 1.33GHZ M,48,0,"349.00000","0","1","-","SandCat","Active","Atom E3825","1.33GHz","2","5.3W","Heat Sink","4.23"" x 3.77"" (108mm x 96mm)","PC/104","PC/104-Plus","8GB/0GB","mSATA, SATA","HDMI","10/100/1000Mbps (1)","USB 2.0 (2)","1","16","-","Yes","-40°C ~ 85°C"
http://www.udoo.org/download/files/datasheets/datasheet_udoo_neo.pdf,//media.digikey.com/Photos/UDOO/MFG_SA69-0100-0100-C0.jpg,1485-1012-ND,SA69-0100-0100-C0,UDOO,UDOO NEO BASIC SBC 512MB RAM,113,0,"51.44000","0","1","-","NEO","Active","ARM® Cortex®-A9 + M4, i.MX6Solo","1.0GHz","3","-","-","2.2"" x 2.7"" (56mm x 68.6mm)","-","-","512MB/512MB","SD/SDIO, SPI","HDMI, LVDS","10/100Mbps (1)","USB 2.0 type A (1), USB Micro (1)(1 OTG)","-","36","6:0","-","-"
https://s3.us-east-2.amazonaws.com/technexion/datasheets/wb-imx6.pdf,//media.digikey.com/Photos/Wandboard%20Org%20Photos/WB-IMX6S_Bottom.JPG,1406-0009-ND,WB-IMX6S,Wandboard.Org,WB-IMX6S,73,0,"91.80000","0","1","-","-","Active","ARM® Cortex®-A9, i.MX6Solo","1.0GHz","1","-","-","3.74"" x 3.74"" (95mm x 95mm)","-","GPIO, I²C, SPI, TTL, UART","512MB/512MB","microSD","HDMI","1Gbps","USB 2.0 (1)","1","-","-","-","0°C ~ 50°C"
https://wiki.solid-run.com/lib/exe/fetch.php?media=imx6:microsom:docs:sr-data_sheet-imx6-microsom-i4pro.pdf,//media.digikey.com/Photos/SolidRun/MFG_USOM0.jpg,SRMX6QDW00D02GE000V15C0-ND,SRMX6QDW00D02GE000V15C0,SolidRun LTD,SOM QUAD 2GB 1GHZ,62,0,"132.61000","0","1","-","MicroSoM i4Pro","Active","ARM® Cortex®-A9, i.MX6Quad","1.2GHz","4","-","-","1.85"" x 1.18"" (47mm x 30mm)","-","SATA, PCIe","2GB/2GB","eMMC, NOR-Flash, PCIeSSD, SD/mSD","DSI, HDMI, LVDS","10/100/1000Mbps (1)","USB 2.0 (1), USB OTG (1)","-","75","-","-","0°C ~ 60°C"
https://www.digi.com/pdf/ds_op7200.pdf,//media.digikey.com/Photos/Digi%20Int%27l%20Photos/MFG_20-101-0536.JPG,602-1649-ND,20-101-0536,Digi,INTERFACE INTELL OPERATOR OP7210,36,0,"399.00000","0","1","-","OP7210","Not For New Designs","Rabbit 2000","22MHz","1","4W","-","4.41"" x 5.67"" (112mm x 144mm)","-","-","128KB/128KB","-","-","10/100Mbps (1)","-","4","16/8","-","Yes","-10°C ~ 65°C"
https://dl.khadas.com/Hardware/VIM2/Specs/Khadas_VIM2_Specs_190403.pdf,//media.digikey.com/Photos/Khadas/MFG_KVIM2.jpg,2064-KVIM2-B-002-ND,KVIM2-B-002,Khadas,VIM2 BASIC SINGLE BOARD COMPUTER,49,0,"112.00000","0","1","-","-","Active","Amlogic S912","1.5GHz","8","-","-","3.23"" x 2.28"" x 0.45"" (82mm x 58mm x 11.5mm)","-","40-Pin GPIO Header","2GB","eMMC V5.1","HDMI 2.0a","GbE","USB 2.0 (1)","-","-","-","Yes","-"
https://dl.khadas.com/Hardware/VIM2/Specs/Khadas_VIM2_Specs_190403.pdf,//media.digikey.com/Photos/Khadas/MFG_KVIM2.jpg,2064-KVIM2-B-005-ND,KVIM2-B-005,Khadas,VIM2 BASIC SINGLE BOARD COMPUTER,49,0,"119.34000","0","1","-","-","Active","Amlogic S912","1.5GHz","8","-","-","3.23"" x 2.28"" x 0.45"" (82mm x 58mm x 11.5mm)","-","40-Pin GPIO Header","2GB","eMMC V5.1","HDMI 2.0a","GbE","USB 2.0 (1)","-","-","-","Yes","-"
https://dl.khadas.com/Hardware/VIM2/Specs/Khadas_VIM2_Specs_190403.pdf,//media.digikey.com/Photos/Khadas/MFG_KVIM2.jpg,2064-KVIM2-P-002-ND,KVIM2-P-002,Khadas,"VIM2 PRO SINGLE BOARD COMPUTER,",49,0,"140.76000","0","1","-","-","Active","Amlogic S912","1.5GHz","8","-","-","3.23"" x 2.28"" x 0.45"" (82mm x 58mm x 11.5mm)","-","40-Pin GPIO Header","3GB","eMMC V5.1","HDMI 2.0a","GbE","USB 2.0 (1)","-","-","-","Yes","-"
https://developer.solid-run.com/download/cubox-i-datasheet/?wpdmdl=3603&ind=1545909811633,-,SRMX6QDWT1D02GE008X00CE-ND,SRMX6QDWT1D02GE008X00CE,SolidRun LTD,SBC PRO CARRIER WIFI/BT REV. 1.5,41,0,"142.08000","0","1","-","CuBox-i Pro","Active","ARM® Cortex®-A9, i.MX6Quad","1GHz","4","-","-","1.97"" x 1.97"" (50mm x 50mm)","-","-","2GB/-","eMMC, eSATA, uSD","HDMI, SPDIF","10/100/1000Mbps","USB 2.0 (2), USB Micro (1)","-","-","-","No","0°C ~ 70°C"
https://dl.khadas.com/Hardware/VIM2/Specs/Khadas_VIM2_Specs_190403.pdf,//media.digikey.com/Photos/Khadas/MFG_KVIM2.jpg,2064-KVIM2-M-002-ND,KVIM2-M-002,Khadas,"VIM2 MAX SINGLE BOARD COMPUTER,",49,0,"152.25000","0","1","-","-","Active","Amlogic S912","1.5GHz","8","-","-","3.23"" x 2.28"" x 0.45"" (82mm x 58mm x 11.5mm)","-","40-Pin GPIO Header","3GB","eMMC V5.1","HDMI 2.0a","GbE","USB 2.0 (1)","-","-","-","Yes","-"
ftp://ftp.ibase.com.tw/productdatasheet/Embedded%20Computing%20Catalog/Disk-Size%20SBCs/IB811_Datasheet.pdf,//media.digikey.com/Photos/IBASE-Technology/MFG_IB811F-I50.jpg,2228-IB811F-I50-ND,IB811F-I50,iBASE Technology,3.5"" INTEL ATOM X7-E3950 QC SOC,49,0,"226.19000","0","1","Bulk","*","Active","Intel Atom X7, E3950","1.6GHz, 2GHz","2","-","-","4.02"" x 5.79"" (102.00mm x 147.00mm)","3.5"" SBC","Audio, Mini-PCIe, M.2","8GB/0GB","mSATA, SATA III","Display Port, eDP, HDMI, LVDS, VGA","GbE (2)","USB 2.0 (2), USB 3.0 (4)","4","-","-","Yes","-40°C ~ 85°C"
ftp://ftp.ibase.com.tw/productdatasheet/Embedded%20Computing%20Catalog/Disk-Size%20SBCs/IB818_Datasheet.pdf,//media.digikey.com/Photos/IBASE-Technology/MFG_IB818F-335.jpg,2228-IB818F-335-ND,IB818F-335,iBASE Technology,3.5"" INTEL CELERON N3350 DC SOC,49,0,"227.00000","0","1","Bulk","*","Active","Intel Celeron N3350","1.1GHz, 2.4GHz","1","-","-","4.02"" x 5.79"" (102.00mm x 147.00mm)","3.5"" SBC","Mini-PCIe","8GB/0GB","mSATA, SATA III","Display Port, eDP, HDMI, LVDS, VGA","GbE (2)","USB 2.0 (2), USB 3.0 (4)","4","-","-","Yes","0°C ~ 60°C"
ftp://ftp.ibase.com.tw/productdatasheet/Digital%20Signage%20Catalog/SI-12_Datasheet.pdf,//media.digikey.com/Photos/IBASE-Technology/MFG_SI-12-OS.jpg,2228-SI-12-OS-ND,SI-12-OS,iBASE Technology,DIGITAL SIGN PLAYER INTEL ATOM,49,0,"398.81000","0","1","Bulk","*","Active","Intel® Atom™ Processor E3845","1.91GHz","4","60W","-","5.19"" x 7.48"" x 0.77"" (130.00mm x 190.00mm x 19.50mm)","-","Mini-PCIe, SIM/UIM","4GB/64GB","mSATA","HDMI","GbE (1), RJ45 (2)","USB 2.0 (1), USB 3.0 (2)","1","-","-","Yes","-30°C ~ 60°C"
ftp://ftp.ibase.com.tw/productdatasheet/Digital%20Signage%20Catalog/SI-323-N_Datasheet.pdf,//media.digikey.com/Photos/IBASE-Technology/MFG_SI-323-N-OS.jpg,2228-SI-323-N-OS-ND,SI-323-N-OS,iBASE Technology,DIGITAL SIGNAGE PLAYER AMD RYZEN,50,0,"571.43000","0","1","Bulk","*","Active","AMD Ryzen™ Embedded R1606G","2.6GHz, 3.5GHz","1","84W","-","6.46"" x 8.50"" x 1.77"" (164.00mm x 215.80mm x 45.00mm)","-","Mini-PCIe, M.2","8GB/128GB","M.2","HDMI","GbE (2), RJ45 (3)","USB 2.0 (1), USB 3.0 (2)","1","-","-","Yes","0°C ~ 45°C"
ftp://ftp.ibase.com.tw/productdatasheet/Digital%20Signage%20Catalog/SI-324_Datasheet.pdf,//media.digikey.com/Photos/IBASE-Technology/MFG_SI-324-16-OS.jpg,2228-SI-324-16-OS-ND,SI-324-16-OS,iBASE Technology,DIGITAL SIGNAGE PLAYER AMD RYZEN,50,0,"750.00000","0","1","Bulk","*","Active","AMD Ryzen™ Embedded V1807B","3.35GHz, 3.8GHz","1","150W","-","10.59"" x 7.60"" x 1.24"" (269.00mm x 193.00mm x 31.50mm)","-","Mini-PCIe, M.2, SIM","32GB/128GB","M.2","HDMI","GbE (2), RJ45 (4)","USB 2.0 (1), USB 3.0 (2)","1","-","-","Yes","0°C ~ 45°C"
ftp://ftp.ibase.com.tw/productdatasheet/Digital%20Signage%20Catalog/SI-324_Datasheet.pdf,//media.digikey.com/Photos/IBASE-Technology/MFG_SI-324-OS.jpg,2228-SI-324-OS-ND,SI-324-OS,iBASE Technology,DIGITAL SIGNAGE PLAYER AMD RYZEN,50,0,"892.86000","0","1","Bulk","*","Active","AMD Ryzen™ Embedded V1807B","3.35GHz, 3.8GHz","1","150W","-","10.59"" x 7.60"" x 1.24"" (269.00mm x 193.00mm x 31.50mm)","-","Mini-PCIe, M.2, SIM","32GB/128GB","M.2","HDMI","GbE (2), RJ45 (4)","USB 2.0 (1), USB 3.0 (2)","1","-","-","Yes","0°C ~ 45°C"
ftp://ftp.ibase.com.tw/productdatasheet/Digital%20Signage%20Catalog/SI-626_Datasheet.pdf,//media.digikey.com/Photos/IBASE-Technology/MFG_SI-626-OS.jpg,2228-SI-626-OS-ND,SI-626-OS,iBASE Technology,DIGITAL SIGNAGE PLAYER INTEL AMD,50,0,"1428.57000","0","1","-","*","Active","AMD E8860, Intel® Core™ (mobile) i7-7820EQ","-","1","150W","-","8.74"" x 11.42"" x 1.18"" (222.00mm x 290.00mm x 29.90mm)","-","Mini-PCIe, M.2","32GB/128GB","2.5"" SSD/HDD","HDMI","GbE (2), RJ45 (4)","USB 3.0 (4)","1","-","-","Yes","0°C ~ 45°C"
https://www.udoo.org/download/files/datasheets/datsheet_udoo_bolt.pdf,-,1485-SC40-1000-0000-C0-V-ND,SC40-1000-0000-C0-V,UDOO,SBC UDOO BOLTV3 RYZENV1202B 32GB,49,0,"340.00000","0","1","-","*","Active","AMD Ryzen™ Embedded V1202B","2.3GHz ~ 3.2GHz","2","65W","Fan + Heat Sink","4.72"" x 4.72"" (120mm x 120mm)","-","-","32GB/-","eMMC 5.0, NVME M.2, SATA 3.0, SSD SATA M.2","DP, HDMI","GbE, RJ-45","USB 3.0 Type-A (2), USB 3.1 Gen 2, USB-PD 3.0, USB Type-C (2)","-","25","13:0","-","-"
https://www.udoo.org/download/files/datasheets/datsheet_udoo_bolt.pdf,-,1485-SC40-2000-0000-C0-V-ND,SC40-2000-0000-C0-V,UDOO,SBC UDOO BOLTV8 RYZENV1605B 32GB,99,0,"428.75000","0","1","-","*","Active","AMD Ryzen™ Embedded V1605B","2.0GHz ~ 3.6GHz","4","65W","Fan + Heat Sink","4.72"" x 4.72"" (120mm x 120mm)","-","-","32GB/-","eMMC 5.0, NVME M.2, SATA 3.0, SSD SATA M.2","DP, HDMI","GbE, RJ-45","USB 3.0 Type-A (2), USB 3.1 Gen 2, USB-PD 3.0, USB Type-C (2)","-","25","13:0","-","-"
https://www.versalogic.com/Products/PDF/DS-Tiger.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-EPM-24EN.jpg,1241-1175-ND,VL-EPM-24EN,VersaLogic Corporation,TIGER 1.3 GHZ EXT TEMP,288,0,"963.00000","0","1","-","Tiger","Obsolete","Atom Z520PT","1.33GHz","1","5.9W","Heat Sink","3.6"" x 3.8"" (90mm x 96mm)","PC/104","PC/104-Plus noPassThru","2GB/0GB","ATA100, IDE DOM","LVDS","10/100Mbps (1)","USB 2.0 (7)","4","0","0:0","Yes","-40°C ~ 85°C"
https://www.versalogic.com/Products/PDF/DS-Tiger.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/MFG_Tiger.jpg,1241-1042-ND,VL-EPM-24EU,VersaLogic Corporation,SBC ATOM Z520PT 1.33 GHZ MAX 2GB,116,0,"966.01000","0","1","-","Tiger","Obsolete","Atom Z520PT","1.33GHz","1","5.9W","Heat Sink","3.6"" x 3.8"" (90mm x 96mm)","PC/104","PC/104-Plus noPassThru","2GB/0GB","ATA100, IDE DOM","LVDS","10/100Mbps (1)","USB 2.0 (7)","4","0","0:0","Yes","-40°C ~ 85°C"
https://www.versalogic.com/Products/PDF/DS-Falcon.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-EPU-2610-EBPx.jpg,1241-1235-ND,VL-EPU-2610-ECPN,VersaLogic Corporation,"SWAP SYSTEM 1.6 GHZ, 1GB",45,0,"1284.00000","0","1","-","Falcon","Obsolete","Atom E680T","1.6GHz","1","10.6W","Heat plate","2.17"" x 3.31"" (55mm x 84mm)","EPU","-","1GB/1GB","SATA2, mSATA, MicroSD (2)","LVDS","GbE","USB 2.0 (4)","4","4","0:0","Yes","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/VersaLogic%20PDFs/Copperhead.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-EBXE-41SJF.JPG,1241-1118-ND,VL-EBXE-41SJF,VersaLogic Corporation,SBC COPPERHEAD 4 CORE I7 2.3GHZ,41,0,"3067.50000","0","1","-","Copperhead","Obsolete","Intel Core i7","2.3GHz","4","37.2W","Fan + Heat Sink","5.75"" x 8"" (146mm x 203mm)","EBX","PCIe/104","16GB/0GB","SATA3 (2), SATA6 (2), mSATA, eUSB","VGA, LVDS","10/100/1000Mbps (2)","USB 2.0 (10), USB 3.0 (2)","4","32","16:8","Yes","0°C ~ 60°C"
